,document,term,tfidf
1522591,Mae West,vivien,0.08669939641419576
1522588,Mae West,vivian,0.08535949653615485
1518325,Mae West,scarlett,0.07448687303491154
1514344,Mae West,oliviers,0.07358556150344471
1499109,Mae West,actress,0.07256154336071356
1518615,Mae West,selznick,0.07102978607490404
1022659,Marcello Mastroianni,monroe,0.8696735411093772
1016830,Marcello Mastroianni,fox,0.11171883884824037
1016443,Marcello Mastroianni,film,0.0961411079648278
1022383,Marcello Mastroianni,miller,0.0807900133774575
1028113,Marcello Mastroianni,sex,0.06882025677173031
1010698,Marcello Mastroianni,blonde,0.06464513511831176
1022547,Marcello Mastroianni,mmp,0.06454616836956083
1021773,Marcello Mastroianni,marilyn,0.06401465353619462
1014334,Marcello Mastroianni,dimaggio,0.058599782223605255
1014959,Marcello Mastroianni,dumb,0.054380754110313914
1062633,Marilyn Monroe,brando,0.9026380088093012
1068089,Marilyn Monroe,film,0.10461342494880099
1073453,Marilyn Monroe,marlon,0.10288389801574538
1064778,Marilyn Monroe,coppola,0.09078787543858122
1060116,Marilyn Monroe,actor,0.0632850960737979
1071821,Marilyn Monroe,kazan,0.05704030451857444
1081435,Marilyn Monroe,superman,0.041267216108446005
1069164,Marilyn Monroe,godfather,0.03901172701889258
1074601,Marilyn Monroe,mutiny,0.038783831942678135
1083813,Marilyn Monroe,waterfront,0.03714049449760141
468494,Marlene Dietrich,bogart,0.8696782035902734
467603,Marlene Dietrich,bacall,0.20378619368780485
476534,Marlene Dietrich,huston,0.08177150598783457
474160,Marlene Dietrich,film,0.07656452947833135
485275,Marlene Dietrich,santana,0.06739512133364539
480005,Marlene Dietrich,methot,0.0611862722892089
486167,Marlene Dietrich,sierra,0.055067645060288016
482342,Marlene Dietrich,petrified,0.051102921407296074
468499,Marlene Dietrich,bogie,0.04894901783136712
469413,Marlene Dietrich,casablanca,0.04894901783136712
191340,Marlon Brando,grant,0.8288179309878284
190107,Marlon Brando,film,0.1302760688403756
185356,Marlon Brando,cary,0.1199601618472859
184774,Marlon Brando,bristol,0.08940214086775908
195663,Marlon Brando,mccann,0.07436404181960432
206383,Marlon Brando,year,0.06709298352705953
197455,Marlon Brando,opposite,0.06307096296392027
